patent_id,inventor_id,disambig_inventor_name_first,location_id
D520786,fl:jo_ln:ferrerbeltran-2,Jose M.,69672797-16c8-11ed-9b5f-1234bde3cd05
12165353,fl:an_ln:sundstrom-1,Andrew,efb44514-0315-11ef-b443-0a1e30f810d7
11617187,fl:sa_ln:ganu-2,Sachin,c1ee6332-16c7-11ed-9b5f-1234bde3cd05
7904277,fl:ri_ln:schatzberger-1,Richard,e1c05366-16c7-11ed-9b5f-1234bde3cd05
12179842,fl:ha_ln:bodin-1,Hans,243dd0d8-16c8-11ed-9b5f-1234bde3cd05
11595705,fl:sh_ln:o'malley-2,Shawn Michael,ff7c3805-16c7-11ed-9b5f-1234bde3cd05
8908127,fl:ki_ln:cho-59,Ki Hyun,3eea8bf8-16c8-11ed-9b5f-1234bde3cd05
11262090,fl:ke_ln:shull-2,Kenneth D.,d6f48e6f-16c7-11ed-9b5f-1234bde3cd05
11528824,fl:lu_ln:lopezmoreno-1,Luis,b24cf22b-16c7-11ed-9b5f-1234bde3cd05
9658151,fl:ma_ln:liphardt-2,Martin M.,d1bef048-16c7-11ed-9b5f-1234bde3cd05
11384864,fl:yo_ln:yamada-56,Yoshiyuki,8bf25727-16c8-11ed-9b5f-1234bde3cd05
5706410,fl:jo_ln:baker-78,Jonathan M.,8e6e9342-16c8-11ed-9b5f-1234bde3cd05
6049464,fl:fr_ln:garbelli-1,Francesco,94a6a392-16c8-11ed-9b5f-1234bde3cd05
5559840,fl:ro_ln:rutledge-2,Robert A.,13f05eea-16c8-11ed-9b5f-1234bde3cd05
10891115,fl:pa_ln:koptilin-1,Pavel,40a4262d-16c8-11ed-9b5f-1234bde3cd05
4943630,fl:je_ln:jacquinet-1,Jean-Claude,46300029-16c8-11ed-9b5f-1234bde3cd05
6293311,fl:an_ln:auvil-2,Andrew L.,f4446990-16c7-11ed-9b5f-1234bde3cd05
7761851,fl:st_ln:hunt-10,Stephen L.,e0a8c424-16c7-11ed-9b5f-1234bde3cd05
D1003337,fl:an_ln:tang-15,Andrew T. K.,01dccb7a-16c8-11ed-9b5f-1234bde3cd05
11609753,fl:mi_ln:samuel-5,Michael Vincent,08356fad-16c8-11ed-9b5f-1234bde3cd05
7530085,fl:ez_ln:darshan-1,Ezra,62163003-16c8-11ed-9b5f-1234bde3cd05
10906348,fl:ri_ln:peres-1,Richard,1831d82a-16c8-11ed-9b5f-1234bde3cd05
7464686,fl:yu_ln:oda-7,Yuji,8bde50b2-16c8-11ed-9b5f-1234bde3cd05
12024523,fl:la_ln:ulander-2,Lars Johan Andreas,5bdb258d-16c8-11ed-9b5f-1234bde3cd05
D1085032,fl:ky_ln:lee-627,Kyudae,3eea8bf8-16c8-11ed-9b5f-1234bde3cd05
8863259,fl:ju_ln:takagi-11,Junji,1c0a3d5a-16c8-11ed-9b5f-1234bde3cd05
11893068,fl:yo_ln:jun-66,Youngkyun,3eea8bf8-16c8-11ed-9b5f-1234bde3cd05
4834735,fl:mi_ln:alemany-1,Miguel,edfab6f6-16c7-11ed-9b5f-1234bde3cd05
4305475,fl:ro_ln:wacker-1,Robert L.,f7a61c0f-16c7-11ed-9b5f-1234bde3cd05
8927555,fl:da_ln:neff-1,Danielle K.,808619a7-16c8-11ed-9b5f-1234bde3cd05
11461267,fl:yi_ln:wang-136,Yi,91994cc9-49af-11ed-9879-1234bde3cd05
6340931,fl:be_ln:harrison-2,Beverly L.,a26e22db-16c8-11ed-9b5f-1234bde3cd05
5879927,fl:ba_ln:vanhell-1,Bart,4e24e00e-16c8-11ed-9b5f-1234bde3cd05
D523440,fl:pa_ln:kalyanapu-1,Patrick,92237ca2-16c8-11ed-9b5f-1234bde3cd05
10644314,fl:gl_ln:amatucci-1,Glenn G.,0e18d208-16c8-11ed-9b5f-1234bde3cd05
8812713,fl:ja_ln:delker-2,Jason R.,d728ee2c-16c7-11ed-9b5f-1234bde3cd05
10105334,fl:wi_ln:meng-1,Wilson,f7ccc69c-16c7-11ed-9b5f-1234bde3cd05
4359283,fl:th_ln:mcclellan-3,Thomas A.,3c7e3616-16c8-11ed-9b5f-1234bde3cd05
12074586,fl:gu_ln:weng-7,Guojun,843f4caa-49af-11ed-9879-1234bde3cd05
7449934,fl:ji_ln:park-190,Jin-Sung,ec2f0cf3-16c7-11ed-9b5f-1234bde3cd05
5193174,000f0k6brgval6kr9agzjlgcg,Lynda M.,f7b139a2-16c7-11ed-9b5f-1234bde3cd05
9310547,fl:yo_ln:son-144,Young-Ran,1aeb3c64-16c8-11ed-9b5f-1234bde3cd05
5970732,000f3mi5t5lpa1ch45ncsfqtz,Semion H.,9fe7099b-16c8-11ed-9b5f-1234bde3cd05
11493499,fl:ra_ln:venkataramani-1,Raman,df7e494c-16c7-11ed-9b5f-1234bde3cd05
11407819,fl:ya_ln:ko-1,Ya-Ping,cf4944e5-16c7-11ed-9b5f-1234bde3cd05
11708101,fl:vi_ln:ramamoorthy-2,Vimal,6966848b-16c8-11ed-9b5f-1234bde3cd05
7856699,fl:bo_ln:ormsbee-1,Bowden,df7e494c-16c7-11ed-9b5f-1234bde3cd05
6252450,fl:ro_ln:alini-1,Roberto,c3f6bfd4-16c7-11ed-9b5f-1234bde3cd05
10850064,fl:jo_ln:buysman-2,John Jason,d047bc2e-16c7-11ed-9b5f-1234bde3cd05
10789037,fl:ru_ln:shi-10,Ruiwen,93778f03-16c8-11ed-9b5f-1234bde3cd05
9256973,fl:ca_ln:phillips-22,Cary,c39c8663-16c7-11ed-9b5f-1234bde3cd05
5922953,000fjkbab9nljqyqpy20ktebx,Seved Ahmad Mojahed,198a3cb5-16c8-11ed-9b5f-1234bde3cd05
10828285,fl:sr_ln:punna-1,Sreenivas,c59ba8f0-16c7-11ed-9b5f-1234bde3cd05
9149465,fl:mi_ln:grogan-1,Michael J.,0b2db200-16c8-11ed-9b5f-1234bde3cd05
D581611,fl:mi_ln:moore-11,Michael Edward,40a64497-16c8-11ed-9b5f-1234bde3cd05
7411950,fl:ma_ln:horiguchi-17,Mari,1d2251c8-16c8-11ed-9b5f-1234bde3cd05
D784590,fl:se_ln:jurdana-1,Sergio,3b435ab2-16c8-11ed-9b5f-1234bde3cd05
10862110,fl:ja_ln:choi-156,Jaeman,3eb3274f-16c8-11ed-9b5f-1234bde3cd05
D423279,fl:ma_ln:barker-12,Mario John,bab1d2db-16c7-11ed-9b5f-1234bde3cd05
5828387,fl:ha_ln:takahashi-28,Haruhiko,1d2251c8-16c8-11ed-9b5f-1234bde3cd05
8693422,fl:ki_ln:han-39,Ki-Young,755a6338-16c8-11ed-9b5f-1234bde3cd05
4830308,fl:jo_ln:puryear-2,John W.,1b09bf74-16c8-11ed-9b5f-1234bde3cd05
5030533,fl:da_ln:murti-1,Dasarao K.,f8bc137b-16c7-11ed-9b5f-1234bde3cd05
8592791,fl:ja_ln:tour-1,James M.,d96b7eb6-16c7-11ed-9b5f-1234bde3cd05
11326911,fl:pi_ln:payraud-1,Pierre,48f2838c-16c8-11ed-9b5f-1234bde3cd05
10629805,fl:te_ln:asayama-1,Tetsuya,42f90495-16c8-11ed-9b5f-1234bde3cd05
9105616,fl:ka_ln:lee-173,Kang Hyun,3eea8bf8-16c8-11ed-9b5f-1234bde3cd05
7934604,fl:ma_ln:zeiler-4,Martin,91bdded2-16c8-11ed-9b5f-1234bde3cd05
5366171,fl:le_ln:kononov-1,Leon,d1be55cf-16c7-11ed-9b5f-1234bde3cd05
4226980,fl:mo_ln:sato-1,Moriyuki,93594fc2-16c8-11ed-9b5f-1234bde3cd05
9103076,fl:mo_ln:hassan-32,Morris,0e5fa53d-16c8-11ed-9b5f-1234bde3cd05
7762725,fl:wa_ln:barnette-2,Wayne D.,ef238b9a-16c7-11ed-9b5f-1234bde3cd05
8182343,fl:em_ln:watanabe-2,Emi,881ecc4c-16c8-11ed-9b5f-1234bde3cd05
11314830,fl:xi_ln:zhang-560,Xin,3b444e27-16c8-11ed-9b5f-1234bde3cd05
8046452,fl:pe_ln:hovell-1,Peter,22342f51-16c8-11ed-9b5f-1234bde3cd05
11323566,fl:mi_ln:chen-252,Ming,34e9615b-16c8-11ed-9b5f-1234bde3cd05
11742302,fl:ar_ln:pun-1,Arthur Fong-Yuen,04726932-16c8-11ed-9b5f-1234bde3cd05
7710899,fl:pr_ln:mehta-23,Pranav,13f05eea-16c8-11ed-9b5f-1234bde3cd05
8900503,fl:mi_ln:boraas-1,Michael A.,da2d7812-16c7-11ed-9b5f-1234bde3cd05
6343708,000hl8sepandlrjbxh7oea7wh,John,05e3edd8-16c8-11ed-9b5f-1234bde3cd05
11643132,fl:ar_ln:wojtalik-1,Artur,638bdc43-16c8-11ed-9b5f-1234bde3cd05
10494358,fl:ta_ln:toida-4,Takumi,1d2251c8-16c8-11ed-9b5f-1234bde3cd05
4827518,fl:st_ln:weinstein-1,Stephen B.,0e190234-16c8-11ed-9b5f-1234bde3cd05
11253839,fl:al_ln:hagemeyer-1,Alfred,c59ba8f0-16c7-11ed-9b5f-1234bde3cd05
10376878,fl:ni_ln:manaresi-2,Nicolò,998e3060-16c8-11ed-9b5f-1234bde3cd05
5999241,fl:to_ln:konuma-2,Toshimitsu,1d2251c8-16c8-11ed-9b5f-1234bde3cd05
9982200,fl:ra_ln:dongara-3,Rajeshwer,38125f95-16c8-11ed-9b5f-1234bde3cd05
4977930,fl:he_ln:huber-5,Helmuth,722dd427-49af-11ed-9879-1234bde3cd05
9536571,fl:ro_ln:tench-1,Robert J.,c402ac78-16c7-11ed-9b5f-1234bde3cd05
9291306,fl:pa_ln:conlan-1,Patrick,c345f536-16c7-11ed-9b5f-1234bde3cd05
11847113,fl:ra_ln:bordawekar-2,Rajesh,0951a6b6-16c8-11ed-9b5f-1234bde3cd05
12218424,fl:ha_ln:xu-119,Hao,c6a61746-16c7-11ed-9b5f-1234bde3cd05
4639452,fl:al_ln:lacour-2,Alain P.,5fe04003-16c8-11ed-9b5f-1234bde3cd05
D888267,fl:an_ln:besana-1,Andrea,94c73890-16c8-11ed-9b5f-1234bde3cd05
7269900,fl:ma_ln:kanda-11,Masakazu,a52de647-16c8-11ed-9b5f-1234bde3cd05
